example_id                                 | status | run_time        |
------------------------------------------ | ------ | --------------- |
./spec/features/calculations_spec.rb[1:1]  | passed | 0.26404 seconds |
./spec/features/calculations_spec.rb[2:1]  | passed | 0.00839 seconds |
./spec/features/calculations_spec.rb[3:1]  | passed | 0.00958 seconds |
./spec/features/calculations_spec.rb[4:1]  | passed | 0.00774 seconds |
./spec/features/calculations_spec.rb[5:1]  | passed | 0.02856 seconds |
./spec/features/calculations_spec.rb[6:1]  | passed | 0.00978 seconds |
./spec/features/calculations_spec.rb[7:1]  | passed | 0.00905 seconds |
./spec/features/calculations_spec.rb[8:1]  | passed | 0.00915 seconds |
./spec/features/calculations_spec.rb[9:1]  | passed | 0.01047 seconds |
./spec/features/calculations_spec.rb[10:1] | failed | 0.04786 seconds |
./spec/features/calculations_spec.rb[11:1] | failed | 0.06414 seconds |
./spec/features/calculations_spec.rb[12:1] | failed | 0.0256 seconds  |
./spec/features/calculations_spec.rb[13:1] | failed | 0.02832 seconds |
./spec/features/calculations_spec.rb[14:1] | failed | 0.02953 seconds |
./spec/features/calculations_spec.rb[15:1] | failed | 0.075 seconds   |
./spec/features/calculations_spec.rb[16:1] | failed | 0.04253 seconds |
./spec/features/calculations_spec.rb[17:1] | failed | 0.05314 seconds |
./spec/features/calculations_spec.rb[18:1] | failed | 0.03806 seconds |
./spec/features/calculations_spec.rb[19:1] | failed | 0.03642 seconds |
./spec/features/calculations_spec.rb[20:1] | failed | 0.01995 seconds |
./spec/features/calculations_spec.rb[21:1] | failed | 0.0206 seconds  |
./spec/features/calculations_spec.rb[22:1] | failed | 0.01938 seconds |
./spec/features/calculations_spec.rb[23:1] | failed | 0.02081 seconds |
./spec/features/calculations_spec.rb[24:1] | failed | 0.02076 seconds |
./spec/features/calculations_spec.rb[25:1] | failed | 0.02207 seconds |
./spec/features/calculations_spec.rb[26:1] | failed | 0.02115 seconds |
./spec/features/calculations_spec.rb[27:1] | failed | 0.02076 seconds |
./spec/features/calculations_spec.rb[28:1] | failed | 0.02138 seconds |
./spec/features/calculations_spec.rb[29:1] | failed | 0.02028 seconds |
./spec/features/calculations_spec.rb[30:1] | failed | 0.02194 seconds |
./spec/features/calculations_spec.rb[31:1] | failed | 0.01993 seconds |
./spec/features/calculations_spec.rb[32:1] | failed | 0.02019 seconds |
./spec/features/calculations_spec.rb[33:1] | failed | 0.0205 seconds  |
./spec/features/calculations_spec.rb[34:1] | failed | 0.02067 seconds |
./spec/features/calculations_spec.rb[35:1] | failed | 0.02327 seconds |
./spec/features/calculations_spec.rb[36:1] | failed | 0.03685 seconds |
./spec/features/calculations_spec.rb[37:1] | failed | 0.02253 seconds |
./spec/features/calculations_spec.rb[38:1] | failed | 0.02062 seconds |
./spec/features/calculations_spec.rb[39:1] | failed | 0.03914 seconds |
./spec/features/calculations_spec.rb[40:1] | failed | 0.02122 seconds |
./spec/features/calculations_spec.rb[41:1] | failed | 0.02207 seconds |
./spec/features/calculations_spec.rb[42:1] | failed | 0.02018 seconds |
./spec/features/calculations_spec.rb[43:1] | failed | 0.02046 seconds |
./spec/features/calculations_spec.rb[44:1] | failed | 0.01812 seconds |
./spec/features/calculations_spec.rb[45:1] | failed | 0.01922 seconds |
./spec/features/calculations_spec.rb[46:1] | failed | 0.02086 seconds |
./spec/features/calculations_spec.rb[47:1] | failed | 0.02112 seconds |
./spec/features/calculations_spec.rb[48:1] | failed | 0.02049 seconds |
./spec/features/calculations_spec.rb[49:1] | failed | 0.01834 seconds |
./spec/features/calculations_spec.rb[50:1] | failed | 0.01861 seconds |
